,molecule_chembl_id,IC50,units,smiles,pIC50,molecular_weight,n_hba,n_hbd,logp,ro5_fulfilled
3364,CHEMBL3985516,188.0,nM,CO[C@H]1CC[C@]2(CC1)Cc1ccc(C#N)cc1C21N=C(C)C(N)=N1,6.72584215073632,322.179361324,5,1,2.6742800000000004,True
3365,CHEMBL3957561,189.0,nM,CC#Cc1cccc(-c2ccc3c(c2)C2(N=C(C)C(N)=N2)[C@]2(CC[C@H](OC)CC2)C3)c1Cl,6.723538195826755,445.192090196,4,1,5.494400000000006,True
3366,CHEMBL3688631,189.0,nM,Cc1c(C(=O)Nc2ccc(F)c([C@@]3(CF)N=C(N)O[C@@H]4C[C@@H]43)c2)nc2ccc(Cl)cn12,6.723538195826755,445.111708936,6,2,3.585720000000001,True
3367,CHEMBL3677277,189.0,nM,NC1=N[C@]2(c3cc(-c4cccnc4F)ccc3Oc3c(F)cc(N4CCOCC4)cc32)c2nccn21,6.723538195826755,486.16158032000004,8,1,3.6339000000000024,True
3368,CHEMBL2181015,189.0,nM,COC(=O)[C@@H]1CCCN1C(=O)[C@@H](Cc1ccccc1)N(C)C(=O)[C@H](C)NC(=O)[C@H](CC(C)C)NC(=O)C[C@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CCC(N)=O)N(C)C(=O)[C@@H](NC(=O)[C@H](C)O)C(C)C,6.723538195826755,978.542619808,12,7,0.3483000000000074,False
3369,CHEMBL3911716,189.0,nM,C[C@H]1C[C@H]2CSC(N)=N[C@@]2(c2nc(NC(=O)c3coc(C(F)(F)F)n3)cs2)CO1,6.723538195826755,447.06466603199993,9,2,3.0840000000000005,True
3370,CHEMBL3979124,189.0,nM,C[C@H]1C[C@H]2CSC(N)=N[C@@]2(c2nc(NC(=O)c3ccc(F)cn3)cs2)CO1,6.723538195826755,407.088595036,8,2,2.611300000000001,True
3371,CHEMBL3656163,189.1,nM,CN1OC2(N=C1N)c1cc(-c3cccc(C#N)c3)ccc1CC21CCC(F)(F)CC1,6.72330847115496,408.176167764,5,1,4.3215800000000035,True
3372,CHEMBL3645159,190.0,nM,C=CCCOc1cnc(C(=O)Nc2cccc([C@]3(C)CCSC(N)=N3)c2)cn1,6.721246399047171,397.1572459760001,7,2,3.350600000000001,True
3373,CHEMBL138386,190.0,nM,CC(C)[C@H](N)C(=O)N[C@@H](C)C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@@H](C)C(=O)N[C@H](C(=O)NCc1ccncc1)C(C)C,6.721246399047171,596.368618636,7,6,1.4412000000000045,False
