,molecule_chembl_id,IC50,units,smiles,pIC50,ro5_fulfilled
3865,CHEMBL3670347,390.0,nM,C[C@@]1(c2cccc(NC(=O)c3ccc(Br)cn3)n2)COCC(N)=N1,6.4089353929735005,True
3867,CHEMBL3654228,390.0,nM,NC1=N[C@@]2(c3ccc(F)cc3F)CO[C@@H](c3ccncn3)C[C@H]2CS1,6.4089353929735005,True
3868,CHEMBL1270363,390.0,nM,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNC1(c2cccc(C(C)(CF)CF)c2)CC1,6.4089353929735005,True
3869,CHEMBL3653425,390.0,nM,COc1cc(Br)cnc1C(=O)Nc1ccc(F)c([C@]2(CF)COCC(N)=N2)c1,6.4089353929735005,True
3870,CHEMBL1257185,392.0,nM,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNC1(c2cn(C34CC5CC(CC(C5)C3)C4)nn2)CCCCC1,6.406713932979542,True
3871,CHEMBL3672731,392.0,nM,CO[C@H]1CC[C@@]2(CCc3ccc(-c4cc(Cl)cc(C#N)c4)cc3C23N=C(C)C(N)=N3)CC1,6.406713932979542,True
3873,CHEMBL4878232,394.0,nM,CC1(c2cc(NC(=O)c3ccc(C#N)cn3)ccc2F)Cc2cccnc2C(N)=N1,6.404503778174426,True
3874,CHEMBL3890460,395.0,nM,NC1=N[C@@]2(c3c(F)cccc3F)CO[C@@H](C3CC3)C[C@H]2CS1,6.403402904373539,True
3875,CHEMBL3691382,396.0,nM,CC(C)OC[C@H]1C[C@H]2CSC(N)=N[C@@]2(c2ccccc2F)CO1,6.402304814074488,True
3876,CHEMBL3693239,396.5,nM,NC1=NC(CF)(c2cccc(NC(=O)c3ccc(Cl)cn3)c2)C2CC2O1,6.401756808346377,True
3877,CHEMBL3950004,397.0,nM,COc1ccc(F)c([C@H]2C[C@H]3CSC(N)=N[C@@]3(c3ccc(F)cc3F)CO2)c1,6.401209493236885,True
3878,CHEMBL3898614,398.0,nM,C[C@H]1C[C@H]2CSC(N)=N[C@@]2(c2nc(NC(=O)c3ccn(CC(F)F)n3)cs2)CO1,6.400116927926312,True
3879,CHEMBL3956399,398.0,nM,NC1=N[C@](CF)(c2cc(Oc3ncccc3F)ccc2F)C[C@@H](C(F)(F)F)O1,6.400116927926312,True
3881,CHEMBL1645505,400.0,nM,CC(C)C[C@H](NC(=O)[C@@H](NC(=O)[C@@H](N)CNC(=O)c1nn[nH]n1)C(C)C)C(=O)NCC(O)(CCc1ccccc1)C(=O)Nc1cccc(C(=O)O)c1,6.3979400086720375,False
3883,CHEMBL572082,400.0,nM,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNC1(c2cccc(C(C)(C)C)c2)CCCN(O)C1,6.3979400086720375,True
3886,CHEMBL2380821,400.0,nM,CCCc1scc(-c2cn[nH]c2)c1CC(NC1=NC(C)(C)Cc2cc(Cl)ccc21)C(=O)O,6.3979400086720375,True
3887,CHEMBL3670907,400.0,nM,C[C@]1(c2cc(NC3CCCOC3)ccc2F)N=C(N)COC[C@@H]1F,6.3979400086720375,True
3889,CHEMBL583546,400.0,nM,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CN[C@@]1(c2cccc(C(C)(C)C)c2)CC[C@H](NS(C)(=O)=O)NC1,6.3979400086720375,True
